Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Target
2.493782635782759716e-02,5.053709185474999366e-01,4.616843948588318369e-01,1.618149704623634833e-01,4.154523838048623796e-01,7.875143344260993050e-02
4.922934639066418594e-01,7.827145587071699939e-01,5.376063094187228941e-01,3.243505373028532368e-02,8.791194324911885127e-01,8.545420884550476437e-01
1.879234150024079453e-01,1.853456426413164770e-01,1.139196148683760956e-01,1.258640998614370954e-01,6.673565352184517296e-01,8.722872880081151692e-01
6.671557973147558274e-01,7.973479106529501870e-02,6.033151270899281826e-01,1.868504273896293144e-01,2.688938975674788345e-01,2.275535386934145476e-01
4.443660344745087309e-01,1.621635065338586923e-01,5.225890523956170375e-01,4.747028386530240951e-01,6.628513772277478955e-01,1.525155841093626119e-01
9.905298314600576859e-01,9.038471804642883578e-01,2.572415848875035937e-01,5.927453834142745182e-01,4.229286671139589338e-01,2.533238139411830847e-02
1.006289871740885244e-01,1.393332721564310983e-02,7.303184791820865884e-01,6.629653488329945166e-02,9.115806388935908666e-01,4.922220110115292924e-01
4.407783008277029735e-01,7.415506691550528551e-01,9.238018530122985572e-01,7.690267348208758014e-01,3.796515156061204266e-01,3.587226215729263368e-01
2.471753685463764505e-01,6.114738204295148138e-01,9.931013188038695372e-02,5.902885535376927173e-01,6.803391315022685459e-01,9.520148682707496590e-01
7.718318213336983202e-02,4.908813972572914075e-01,2.937121405838953869e-01,1.192479884780082156e-01,1.221502933719393891e-01,7.805766506500622093e-01
4.327548116246954235e-01,2.148211730240412454e-02,7.962238281558232655e-01,4.144637826670611869e-01,1.404418489233455469e-01,3.561189483968734137e-01
4.964202599852319819e-01,6.484114620489389580e-02,4.062089656921613612e-01,3.809893971902992282e-01,9.637662633173198490e-01,8.236814323479240141e-01
5.599007308215627754e-01,3.362368450901221939e-01,8.693504023601172914e-01,6.614431645109264402e-02,3.147680168620204944e-01,9.576856674876189635e-01
9.150164997697161073e-01,8.269439032459569017e-01,6.154769833695872272e-02,7.725201668673720157e-02,1.033105174605730703e-01,7.547336513002176339e-01
7.946237427503209938e-01,6.422196271549751589e-02,6.827759241751496511e-03,4.159614361430961083e-01,8.583980278909051354e-01,3.883596592468955278e-01
8.824273567616280900e-03,8.229765003714224481e-01,8.619831708678179494e-01,6.991815326108044015e-01,9.180862772656213089e-01,9.081808316017583316e-01
4.013395005424559292e-01,2.481105047367817562e-01,4.058535921208030750e-01,8.858996643449991160e-01,2.744089051068444585e-01,4.950251703552290827e-01
7.487073841403105723e-01,4.837947205143129370e-01,8.092549374475455082e-04,2.607739926464134328e-01,7.541460617020963042e-01,4.069883938836893478e-03
4.633301587565600288e-01,9.798608646963875568e-01,7.711683515408561673e-01,7.712374943878811395e-01,3.175975155525356808e-02,4.877278857138898083e-01
2.354379563329064284e-01,5.315709695318896477e-01,9.640813272214110441e-01,1.621294480443780106e-01,5.733799420134038094e-01,4.200882942716864799e-01
2.467171190717057927e-01,3.953076005776386959e-01,2.103582753357536861e-01,7.999683343007034653e-01,6.788748031652732662e-01,9.049507650435908435e-01
9.485129417222737391e-02,8.515632479816288569e-01,8.183311589928693452e-01,9.961390317531274574e-01,7.791783674233329071e-01,1.978609879550803363e-01
7.169208474118000662e-01,8.150647361440497285e-01,6.196227733914589919e-01,8.391109058890366956e-01,9.039874075763809635e-02,3.809464678273583038e-01
2.809203793335340871e-01,3.942929987543407622e-01,3.819684528071378704e-01,9.230853570105296280e-01,2.800569180627121568e-02,6.468789272332853280e-01
1.686818033617576429e-02,3.673651798631958343e-01,1.546851023873486719e-01,9.407803527229791074e-01,6.871389501365596786e-01,3.816991826584257286e-01
3.105742540170300936e-01,2.087344864604095962e-01,7.452784359020364624e-01,2.004280177055923762e-01,2.229699310328823181e-01,4.045781664602832173e-01
8.772458387692869675e-01,8.530337302882121664e-01,9.383466411378903471e-01,5.306782181078940619e-01,5.948829829381188095e-01,6.869721080703274918e-01
4.328619341924080377e-01,1.385597202880864964e-01,5.115597491745121905e-01,9.053496949276834682e-01,1.024509685872503351e-01,5.480406010210658874e-01
1.443502920479554641e-01,2.839713091564699532e-02,6.675331400527451109e-04,3.317937775535428901e-02,9.753623127415652627e-01,4.184969704698112691e-01
2.816429913413515118e-01,6.527886034298903128e-01,7.174417245360118489e-01,8.067754979512850033e-01,1.023774591102264431e-01,7.405323787842499339e-02
2.746102535562262581e-01,6.067020860473690824e-01,8.164000655321481670e-01,4.546579597036548570e-02,1.669793722121714064e-01,4.034588216317654963e-01
1.299780081806519716e-01,6.637061066659112329e-01,1.117109956114523683e-01,1.346966460591295656e-01,2.912807196053757153e-02,7.242244430183497617e-02
1.658161977554186706e-01,6.511600492671096863e-01,4.141818324424269004e-01,4.357555064023532765e-01,2.362232094908234270e-01,6.272112440085790830e-01
9.536096688649818853e-01,2.089465244633283980e-01,7.354149916454971736e-01,8.074119507000457885e-01,8.716130821975442977e-01,6.176258092162734137e-01
3.980899854816593031e-01,9.196741689136223030e-02,3.786489112682374092e-01,9.047280358562334035e-01,7.823923621364927694e-01,5.743016411927361897e-01
4.936740139596299537e-01,4.935997843693584741e-02,9.843763911433387470e-01,4.166040612739706495e-01,2.943586136137611442e-01,8.199207957348128017e-01
4.652516233225904019e-01,6.191554333405894228e-01,6.667257588697980131e-01,5.251742759123642079e-01,6.087171791317187441e-01,1.035005824633861149e-01
9.631941798618892658e-02,1.223396415938999837e-01,1.291603422993476968e-01,4.657277257384785374e-01,4.545638241321576789e-01,4.649473793807463728e-01
3.554669181326264304e-02,6.417210955660861416e-01,8.075823450626400390e-01,8.074819796246582859e-01,8.492473801435008740e-01,5.981577439341064784e-01
7.823279824012229211e-01,2.451705984332229749e-01,1.420445914969621359e-01,6.429368276869708021e-01,7.807219943623188163e-01,4.217627687470695275e-01
6.616145996060096568e-02,7.426437684669678907e-01,2.021955285090702992e-01,8.702405295204312941e-01,9.464629054978562772e-01,5.695993324597538043e-01
1.724678577874584340e-01,4.744440363999030685e-01,2.884820251279568426e-01,8.807895297994565720e-01,8.802883333231719121e-01,9.703831740972199693e-01
2.878862556439200082e-01,5.795053876134269588e-01,9.201865273947030799e-01,6.745956921209309565e-01,7.461039277322267793e-01,7.428294403023172343e-01
4.557392295040766372e-01,3.693551967222842292e-01,9.389322018959989080e-01,1.420896602343501014e-01,1.571845712066793910e-01,3.828574575085236242e-01
8.021982372540819028e-01,6.541172781076383114e-01,1.171646749867832904e-01,3.384343418120343561e-01,3.838334349432220849e-01,2.118070161045861877e-01
4.454140306929484927e-01,3.816313692409378788e-02,8.478792943258817161e-01,2.551898640104053317e-01,5.340569224738990206e-01,5.103876396448082664e-01
3.457728268570876562e-01,1.441183573561355402e-02,5.856171297860633951e-01,8.264091651651342962e-01,7.171822183974992937e-01,2.307952698274928771e-01
2.512562342416547745e-01,5.617046064024185936e-01,1.364026503414496050e-01,3.198916268392461015e-01,2.010251369291200518e-01,6.990670093523604356e-01
1.363923807904532381e-02,1.950483716695088354e-01,9.022094437550073343e-01,9.737109415127431777e-02,4.538035969518101620e-01,8.942185489329232961e-01
1.935788046646816918e-01,8.294040306522684203e-01,4.351648115337014566e-02,1.223434531702138894e-02,7.369360066872276960e-03,6.607534760668669627e-01
4.963074447692594759e-01,9.395414124641103815e-01,1.732352315366965101e-01,2.605799309003725694e-01,3.080190089645488127e-01,3.639887776856928214e-01
3.047623327025832385e-01,6.571905093843829482e-01,4.290816942840603998e-01,1.057906232770874366e-01,5.417182578930501702e-02,2.058732907172531323e-01
8.131085680034934038e-01,3.097654434588964500e-01,7.041383934641678444e-01,6.199859184092997300e-01,7.364612467717090993e-01,3.855734351254289649e-01
7.299329624614422363e-01,8.696680275922988868e-01,1.108293199782579563e-01,6.131488212213541678e-01,4.590330962821014271e-01,3.599210280056267530e-01
2.787668975721894205e-01,1.277413054274398885e-01,4.105216214889713111e-01,7.076179599321041902e-01,7.007835698793903889e-01,9.288609178412534639e-01
9.506640376941430937e-01,1.386290936295518916e-01,8.184333621775901069e-01,3.045333278345460082e-01,8.964258603777675027e-02,6.391198651765217509e-01
9.074083920263175118e-01,9.390172578274114112e-01,3.125910073906537079e-01,9.265894891962985769e-01,1.774757573883594119e-01,5.924085703788326551e-01
2.913022629795025686e-01,9.377213454585382468e-01,2.860497818218810107e-02,9.929583419711820458e-01,1.497010209446356654e-01,8.264000137658934486e-01
8.072443838220909607e-01,7.596392847446087337e-01,6.720405554026995798e-01,8.132824218466002675e-01,2.328738241041303780e-01,4.321561942855949301e-01
7.423830311902522849e-01,4.275655954669583814e-01,6.446996950824833705e-01,5.377609093249352545e-01,2.284469743238114470e-01,5.440559579073837027e-01
5.516525772416935869e-01,6.023897624254752614e-01,9.367821457989837786e-01,7.595494326810099395e-01,7.151969373470707936e-01,9.082563852526938097e-01
1.466888672740958022e-01,5.424430284290568949e-01,7.189298942110883273e-01,2.301091519807190178e-01,7.031293348879197325e-03,9.735533799031069746e-01
2.412843739243075714e-02,3.628262440278328116e-01,3.425311159273002337e-01,5.673613998530684377e-01,1.903570871484443483e-01,2.386551094563932329e-01
7.725761193015875383e-01,5.496251492890824597e-02,1.664933243759223469e-01,3.283721590796825351e-01,3.752316603861245436e-01,7.985271423594407780e-01
3.226732028297613075e-01,7.584125534878691788e-01,9.269171179041396647e-01,1.618757363709055763e-01,3.507332863029458681e-01,2.297313839519895540e-01
8.029737926537960924e-02,1.238693866713499458e-01,1.016720271907767259e-01,6.469261243924983029e-01,5.459456071730480753e-01,3.929339850948803115e-01
1.086681191032956573e-02,5.113991579571602886e-01,8.765246001798613351e-01,5.780784522483918275e-01,3.760260656343398233e-01,7.349467536347574770e-01
6.789436725915855009e-01,1.681796052191087965e-01,2.743870504181035175e-01,7.694758316534908715e-01,2.903891786281010967e-01,2.849637574527588146e-01
8.916262020977461233e-02,4.176636150355035326e-01,8.794760169822912754e-01,6.520028185089081774e-01,3.758974263229698520e-01,3.049263324584673418e-01
1.817905581788049618e-01,6.592266537657101022e-01,3.642070976948006411e-01,8.034484085858424329e-01,2.156510684686081536e-01,9.782353223669358888e-01
1.093062294434274939e-01,6.266457338928809184e-01,4.472504604359822666e-01,8.041392589730924634e-01,8.339985270977997578e-01,3.930414942862148209e-01
7.799494798808331852e-01,4.058109191090492063e-01,7.878507229425792957e-01,3.817798280161233127e-01,6.532480730147042225e-01,8.876024838569779307e-01
8.867530488371616615e-01,4.164133985656089942e-01,6.465567334048466508e-01,3.069833796791467950e-01,2.612902576412589051e-01,3.796826358475968721e-01
6.454409193799678368e-01,9.706021022823416722e-01,7.424896738739343860e-01,7.748960144265646388e-01,4.972475993785893111e-01,1.151897152327949758e-01
4.150541283506296031e-01,8.830080459264032511e-01,7.889213707501919748e-01,4.377763220186160487e-01,4.168062282020549292e-01,8.101452104147175426e-01
9.028895343138243490e-02,4.971859125819177994e-01,5.482210067716642987e-01,7.374531346766476370e-01,1.408622812402726687e-01,7.394603936531507493e-01
5.983175467607785292e-01,5.415371609557430022e-01,7.683961864166072298e-01,4.842506968689911373e-01,7.106120623788714230e-02,9.784247656543323401e-01
1.577277044573388576e-02,1.112061108909058182e-01,1.225403752082421249e-02,5.366232579712937323e-01,7.166247677554457018e-01,7.476171118654073577e-01
5.276420994402206688e-01,7.897904513305731289e-01,2.169154141406564040e-01,2.257478811324781232e-01,1.675493062666896238e-01,5.281842566512976456e-01
8.532412720611259882e-02,9.331427074355171936e-01,7.141287260269938431e-01,9.759400475668323915e-01,8.496617414934433121e-01,5.528349667496037512e-01
8.925175442837304240e-01,4.143668199376060457e-01,4.526989349536860718e-01,4.100377901853275997e-01,5.174819112482169636e-01,9.153883150677555314e-01
5.849015989480277344e-02,3.766143102667038889e-01,9.273784887416961498e-01,3.791009905015145787e-01,2.682523961008785873e-01,4.187347394869485040e-01
9.308967024733239004e-01,3.126219949677921939e-02,7.664307071250648917e-01,8.830452018548391457e-01,2.019824465969602967e-01,9.947297625081866768e-01
6.242644813206823518e-01,3.759621284096855698e-01,2.226926856182880332e-01,4.638675941688343851e-01,6.724114504571155893e-01,6.048510810141140004e-01
2.210922778014685619e-01,4.765366011356280129e-01,3.039610168736704976e-01,1.874415901418849950e-01,6.999438854474907545e-01,5.860434787359136699e-02
6.226541839255494981e-02,8.891711417985938004e-01,7.461026523695720725e-01,5.476237693742012080e-01,9.617925885707786504e-01,1.830092619723995284e-01
3.016206377136909644e-01,5.785375050521255336e-01,1.911541903012426991e-01,1.549958666630398829e-01,1.810915125811337623e-01,8.582240129089554470e-01
6.582628023626971858e-01,1.455607516179913130e-01,7.370719931907309119e-01,7.193944096403048771e-01,6.051007837656596777e-01,7.262932322594052303e-01
6.697835179666236094e-01,2.098022387848279546e-01,3.611261247082543369e-01,4.708298233881583750e-01,1.604063642084005981e-01,2.817340882786546485e-01
7.694821889878862287e-01,8.897719147722393807e-02,2.938855924437172584e-01,7.232248212935900034e-01,5.745135015642119924e-01,2.240959786038458912e-01
1.333399701809656612e-02,7.710108722722723851e-01,6.440025212042644887e-01,8.400607392519721106e-02,3.441555093709166568e-01,5.809103557033781229e-01
9.261171848832459030e-01,8.259950496454464552e-01,4.829957891023208827e-01,1.677541967948633639e-01,1.476669501647798199e-01,6.485686172641413894e-01
9.229721266402680646e-01,4.505864852653288510e-01,8.708476224129992893e-01,3.159121236020341339e-01,7.639540056872986540e-01,1.731956836092889418e-01
2.803583587935418731e-01,9.633545823874538616e-01,6.220051903766812273e-01,2.913842852245667192e-01,4.981503219979962482e-01,3.525963935842371111e-01
9.761365275374740413e-01,1.721389424168886517e-01,3.107068994412803820e-01,9.709421255083162672e-01,4.737349982549697858e-01,8.482273089673424415e-01
7.082873867968771942e-01,6.506133060596834827e-01,3.058394815916829490e-01,6.925676948820655987e-01,2.031193745337692702e-01,8.045120398411160778e-01
1.183018609174631974e-01,7.115297806864521180e-01,5.721411473125909142e-01,8.367063706569766168e-01,6.262548506385007263e-01,5.172743986774797076e-02
8.970078431237298311e-01,3.199449227525452688e-01,2.499612483270645669e-01,2.020936070913119664e-01,3.972862008703322845e-01,8.850188360804855936e-01
5.392688689057304474e-01,7.406443464480764183e-01,9.053845254126091646e-02,6.773651857382033681e-01,9.056359070649481202e-01,6.109794303297310103e-01
9.151998956121865092e-02,3.168863382851925259e-01,3.257502587066760658e-01,9.742450971605577381e-01,8.244090919708977339e-01,9.021523328806813069e-02
